12asA00|chain:A	1auqA00|chain:A	0	224	327	208	242	kmer_topm+lev
152lA00|chain:A	1a2pA00|chain:A	1	44	164	108	124	kmer_topm+lev
153lA00|chain:A	155cA00|chain:A	2	3	185	134	141	kmer_topm+lev
155cA00|chain:A	3pieA02|chain:A	3	281	134	100	94	kmer_topm+lev
16pkA02|chain:A	1auzA00|chain:A	4	226	208	116	154	kmer_topm+lev
16pkA02|chain:A	1ayeA02|chain:A	4	236	208	302	227	kmer_topm+lev
16vpA00|chain:A	1at3A00|chain:A	5	211	311	217	231	kmer_topm+lev
17gsA01|chain:A	1ailA00|chain:A	6	165	99	70	72	kmer_topm+lev
1914A00|chain:A	1a1wA00|chain:A	7	38	171	83	125	kmer_topm+lev
19hcA01|chain:A	1a0pA01|chain:A	8	22	155	91	117	kmer_topm+lev
19hcA02|chain:A	1b4rA00|chain:A	9	252	137	80	102	kmer_topm+lev
1a00B00|chain:B	1adeA02|chain:A	10	141	146	100	108	kmer_topm+lev
1a00B00|chain:B	1aogB01|chain:B	10	194	146	235	174	kmer_topm+lev
1a02F00|chain:F	1a02J00|chain:J	11	12	53	52	36	kmer_topm+lev
1a02F00|chain:F	1llmD02|chain:D	11	267	53	55	42	kmer_topm+lev
1a02J00|chain:J	1a21A01|chain:A	12	39	52	98	76	kmer_topm+lev
1a02J00|chain:J	1aa7A02|chain:A	12	131	52	78	58	kmer_topm+lev
1a04A01|chain:A	1af8A00|chain:A	13	150	124	86	88	kmer_topm+lev
1a04A01|chain:A	1am4A00|chain:A	13	181	124	199	150	kmer_topm+lev
1a04A01|chain:A	2cmrA00|chain:A	13	271	124	195	148	kmer_topm+lev
1a04A02|chain:A	1aoaA02|chain:A	14	193	80	128	96	kmer_topm+lev
1a04A02|chain:A	1avaA02|chain:A	14	229	80	58	60	kmer_topm+lev
1a0cA00|chain:A	1aamA02|chain:A	15	132	437	271	332	kmer_topm+lev
1a0gA02|chain:A	1aoaA01|chain:A	16	192	159	118	115	kmer_topm+lev
1a0hA01|chain:A	1am7A00|chain:A	17	182	89	154	114	kmer_topm+lev
1a0hA01|chain:A	1avyB00|chain:B	17	230	89	54	67	kmer_topm+lev
1a0hA02|chain:A	1aq5A00|chain:A	18	204	70	47	53	kmer_topm+lev
1a0iA01|chain:A	1avaA02|chain:A	19	229	83	58	61	kmer_topm+lev
1a0iA02|chain:A	1adeA01|chain:A	20	140	101	165	120	kmer_topm+lev
1a0iA02|chain:A	1ah9A00|chain:A	20	162	101	71	73	kmer_topm+lev
1a0iA02|chain:A	1aroP03|chain:P	20	210	101	150	112	kmer_topm+lev
1a0iA03|chain:A	1a6aB02|chain:B	21	84	148	98	108	kmer_topm+lev
1a0pA01|chain:A	1a5eA00|chain:A	22	70	91	156	115	kmer_topm+lev
1a0pA01|chain:A	2lw9A00|chain:A	22	275	91	51	66	kmer_topm+lev
1a0rB00|chain:B	1agyA00|chain:A	23	160	339	197	260	kmer_topm+lev
1a0rP01|chain:P	1atrA03|chain:A	24	216	129	89	95	kmer_topm+lev
1a0rP02|chain:P	1b9xC02|chain:C	25	263	53	35	20	kmer_topm+lev
1a0sP00|chain:P	1b30A00|chain:A	26	244	413	301	313	kmer_topm+lev
1a10I00|chain:I	1a8rA02|chain:A	27	112	63	136	104	kmer_topm+lev
1a10I00|chain:I	1a9xA08|chain:A	27	126	63	106	79	kmer_topm+lev
1a10I00|chain:I	1aqaA00|chain:A	27	205	63	84	63	kmer_topm+lev
1a10I00|chain:I	1b4pA02|chain:A	27	251	63	105	77	kmer_topm+lev
1a10I00|chain:I	1rlhA01|chain:A	27	268	63	50	47	kmer_topm+lev
1a15A00|chain:A	1aq5A00|chain:A	28	204	67	47	49	kmer_topm+lev
1a17A00|chain:A	1adeA02|chain:A	29	141	159	100	118	kmer_topm+lev
1a19A00|chain:A	1aq5A00|chain:A	30	204	89	47	67	kmer_topm+lev
1a19A00|chain:A	1auzA00|chain:A	30	226	89	116	87	kmer_topm+lev
1a1aB00|chain:B	1ah9A00|chain:A	31	162	102	71	77	kmer_topm+lev
1a1iA01|chain:A	1a5tA02|chain:A	32	75	30	40	31	kmer_topm+lev
1a1iA01|chain:A	1aggA00|chain:A	32	155	30	48	37	kmer_topm+lev
1a1iA01|chain:A	1ahlA00|chain:A	32	164	30	49	39	kmer_topm+lev
1a1iA01|chain:A	1b8wA00|chain:A	32	259	30	42	34	kmer_topm+lev
1a1iA01|chain:A	1b9xC02|chain:C	32	263	30	35	27	kmer_topm+lev
1a1rA02|chain:A	1a79A02|chain:A	33	99	85	71	64	kmer_topm+lev
1a1tA00|chain:A	1b9xC02|chain:C	34	263	55	35	41	kmer_topm+lev
1a1vA01|chain:A	1acxA00|chain:A	35	138	135	108	97	kmer_topm+lev
1a1vA02|chain:A	1aipA01|chain:A	36	166	135	181	137	kmer_topm+lev
1a1vA02|chain:A	1aisA02|chain:A	36	169	135	87	100	kmer_topm+lev
