12asA00|chain:A	16pkA02|chain:A	0	4	327	208	250	kmer_topm+lev
152lA00|chain:A	1a57A00|chain:A	1	23	164	116	125	kmer_topm+lev
153lA00|chain:A	155cA00|chain:A	2	3	185	134	141	kmer_topm+lev
155cA00|chain:A	17gsA01|chain:A	3	6	134	99	106	kmer_topm+lev
16pkA02|chain:A	19hcA02|chain:A	4	9	208	137	158	kmer_topm+lev
16vpA00|chain:A	1a44A00|chain:A	5	22	311	185	238	kmer_topm+lev
17gsA01|chain:A	1a10I00|chain:I	6	18	99	63	75	kmer_topm+lev
1914A00|chain:A	1a1wA00|chain:A	7	19	171	83	125	kmer_topm+lev
19hcA01|chain:A	1a04A01|chain:A	8	12	155	124	123	kmer_topm+lev
19hcA02|chain:A	1a04A01|chain:A	9	12	137	124	108	kmer_topm+lev
1a00B00|chain:B	1a57A00|chain:A	10	23	146	116	111	kmer_topm+lev
1a02F00|chain:F	1a10I00|chain:I	11	18	53	63	53	kmer_topm+lev
1a04A01|chain:A	1a1wA00|chain:A	12	19	124	83	93	kmer_topm+lev
1a0cA00|chain:A	1a2zA00|chain:A	13	20	437	220	337	kmer_topm+lev
1a0gA02|chain:A	1a57A00|chain:A	14	23	159	116	123	kmer_topm+lev
1a0hA01|chain:A	1a10I00|chain:I	15	18	89	63	68	kmer_topm+lev
1a0iA03|chain:A	1a57A00|chain:A	16	23	148	116	110	kmer_topm+lev
1a0rP01|chain:P	1a10I00|chain:I	17	18	129	63	98	kmer_topm+lev
1a10I00|chain:I	1a1wA00|chain:A	18	19	63	83	67	kmer_topm+lev
1a10I00|chain:I	1a57A00|chain:A	18	23	63	116	91	kmer_topm+lev
1a2zA00|chain:A	1a3cA00|chain:A	20	21	220	166	163	kmer_topm+lev
1a3cA00|chain:A	1a57A00|chain:A	21	23	166	116	124	kmer_topm+lev
1a44A00|chain:A	1a57A00|chain:A	22	23	185	116	140	kmer_topm+lev
