0	12asA00|chain:A	279	1ap8A00|chain:A	242	403	0
1	152lA00|chain:A	30002	5dsgA01|chain:A	64	267	59
2	153lA00|chain:A	117	1a7vA00|chain:A	139	463	0
3	155cA00|chain:A	22191	3pieA02|chain:A	94	418	16
4	16pkA02|chain:A	333	1auzA00|chain:A	154	453	0
5	16vpA00|chain:A	304	1at3A00|chain:A	231	410	0
6	17gsA01|chain:A	417	1b48A01|chain:A	68	340	0
7	1914A00|chain:A	1387	1e8oD00|chain:D	98	375	28
8	19hcA01|chain:A	23	1a0pA01|chain:A	117	452	0
9	19hcA02|chain:A	424	1b4rA00|chain:A	102	435	0
10	1a00B00|chain:B	392	1b23P03|chain:P	105	440	0
11	1a02F00|chain:F	12	1a02J00|chain:J	36	122	0
12	1a02J00|chain:J	3231	1junA00|chain:A	26	85	22
13	1a04A01|chain:A	188	1af8A00|chain:A	88	403	0
14	1a04A02|chain:A	415	1b43A02|chain:A	57	273	0
15	1a0aA00|chain:A	12	1a02J00|chain:J	47	193	0
16	1a0cA00|chain:A	156	1aamA02|chain:A	332	328	0
17	1a0gA02|chain:A	262	1aoaA01|chain:A	115	444	0
18	1a0hA01|chain:A	345	1avyB00|chain:B	67	312	0
19	1a0hA02|chain:A	285	1aq5A00|chain:A	53	227	0
20	1a0iA01|chain:A	338	1avaA02|chain:A	61	290	0
21	1a0iA02|chain:A	207	1ah9A00|chain:A	73	349	0
22	1a0iA03|chain:A	91	1a6aB02|chain:B	108	438	0
23	1a0pA01|chain:A	11	1a02F00|chain:F	67	316	0
24	1a0rB00|chain:B	498	1bccB01|chain:B	251	406	0
25	1a0rP01|chain:P	311	1atrA03|chain:A	95	424	0
26	1a0rP02|chain:P	478	1b9xC02|chain:C	20	77	8
27	1a0sP00|chain:P	406	1b37A01|chain:A	310	349	0
28	1a10I00|chain:I	235	1al0B00|chain:B	48	196	0
29	1a15A00|chain:A	285	1aq5A00|chain:A	49	213	0
30	1a17A00|chain:A	172	1adeA02|chain:A	118	451	0
31	1a19A00|chain:A	285	1aq5A00|chain:A	67	313	0
32	1a1aB00|chain:B	357	1ayaA00|chain:A	74	358	0
33	1a1iA01|chain:A	478	1b9xC02|chain:C	27	54	0
34	1a1rA02|chain:A	106	1a79A02|chain:A	64	296	0
35	1a1tA00|chain:A	490	1bbgA00|chain:A	40	153	0
36	1a1vA01|chain:A	167	1acxA00|chain:A	97	430	0
37	1a1vA02|chain:A	216	1aisA02|chain:A	100	432	0
38	1a1vA03|chain:A	174	1adjB02|chain:B	121	452	0
39	1a1wA00|chain:A	452	1b7yB01|chain:B	56	287	0
40	1a1xA00|chain:A	29	1a15A00|chain:A	81	372	0
41	1a21A01|chain:A	231	1akhB00|chain:B	74	342	0
42	1a21B02|chain:B	441	1b6qA00|chain:A	73	342	0
43	1a22A00|chain:A	161	1abvA00|chain:A	135	462	0
44	1a2fA02|chain:A	373	1b06A01|chain:A	91	406	0
45	1a2oA01|chain:A	158	1ab5A00|chain:A	96	428	0
46	1a2pA00|chain:A	328	1auvA01|chain:A	80	371	0
47	1a2tA00|chain:A	174	1adjB02|chain:B	100	430	0
48	1a2vA03|chain:A	335	1av4A03|chain:A	273	282	0
49	1a2zA00|chain:A	319	1augA00|chain:A	137	416	0
50	1a31A02|chain:A	415	1b43A02|chain:A	82	383	0
51	1a31A03|chain:A	64	1a41A01|chain:A	111	446	0
52	1a31A04|chain:A	487	1balA00|chain:A	58	273	0
53	1a36A04|chain:A	52	1a31A04|chain:A	96	364	54
54	1a3aC00|chain:C	174	1adjB02|chain:B	105	437	0
55	1a3cA00|chain:A	61	1a3wB03|chain:B	123	451	0
56	1a3gA01|chain:A	236	1al3A01|chain:A	102	434	0
57	1a3qA01|chain:A	6	17gsA01|chain:A	131	452	0
58	1a3qA02|chain:A	207	1ah9A00|chain:A	73	341	0
59	1a3wA01|chain:A	69	1a49A01|chain:A	116	450	0
60	1a3wA02|chain:A	227	1ajwA00|chain:A	174	442	0
61	1a3wB03|chain:B	191	1afiA00|chain:A	72	338	0
